symbol,category
RELIANCE.NS,equity_india
TCS.NS,equity_india
HDFCBANK.NS,equity_india
INFY.NS,equity_india
ICICIBANK.NS,equity_india
HINDUNILVR.NS,equity_india
SBIN.NS,equity_india
BHARTIARTL.NS,equity_india
ITC.NS,equity_india
LT.NS,equity_india
KOTAKBANK.NS,equity_india
AXISBANK.NS,equity_india
ASIANPAINT.NS,equity_india
MARUTI.NS,equity_india
SUNPHARMA.NS,equity_india
BAJFINANCE.NS,equity_india
WIPRO.NS,equity_india
HCLTECH.NS,equity_india
ULTRACEMCO.NS,equity_india
TITAN.NS,equity_india
POWERGRID.NS,equity_india
NTPC.NS,equity_india
NESTLEIND.NS,equity_india
TECHM.NS,equity_india
ADANIPORTS.NS,equity_india
M&M.NS,equity_india
TATAMOTOR.NS,equity_india
JSWSTEEL.NS,equity_india
ONGC.NS,equity_india
COALINDIA.NS,equity_india
NIFTYBEES.NS,etf_india
BANKBEES.NS,etf_india
GOLDBEES.NS,etf_india
JUNIORBEES.NS,etf_india
ITBEES.NS,etf_india
PHARMABEES.NS,etf_india
PSUBNKBEES.NS,etf_india
AUTOBEES.NS,etf_india
EMBASSY.NS,reit_invit
MINDSPACE.NS,reit_invit
BIRET.NS,reit_invit
PGINVIT.NS,reit_invit
INDIGRID.NS,reit_invit
SPY,global_etf_proxy
QQQ,global_etf_proxy
DIA,global_etf_proxy
IWM,global_etf_proxy
EFA,global_etf_proxy
EEM,global_etf_proxy
VNQ,global_etf_proxy
GLD,global_etf_proxy
SLV,global_etf_proxy
TLT,global_etf_proxy
LQD,global_etf_proxy
HYG,global_etf_proxy
XLE,global_etf_proxy
XLK,global_etf_proxy
XLF,global_etf_proxy
USO,commodity_proxy
DBA,commodity_proxy
CPER,commodity_proxy
